creacion,candidato,compound,retweet_count,numSemana,compoundRT
05/03/21,Samuel Garcia,-0.1124,5,10,-0.562
05/03/21,Samuel Garcia,-0.3252,0,10,0
05/03/21,Samuel Garcia,-0.5106,1,10,-0.5106
05/03/21,Samuel Garcia,0,152,10,0
05/03/21,Samuel Garcia,0.4404,4,10,1.7616
05/03/21,Samuel Garcia,0.4215,137,10,57.7455
05/03/21,Samuel Garcia,0,5,10,0
05/03/21,Samuel Garcia,0.4404,0,10,0
05/03/21,Samuel Garcia,0,4,10,0
05/03/21,Samuel Garcia,0.7003,1,10,0.7003
05/03/21,Samuel Garcia,0.6908,0,10,0
05/03/21,Samuel Garcia,0.4588,6,10,2.7528
05/03/21,Samuel Garcia,-0.2263,34,10,-7.6942
05/03/21,Samuel Garcia,-0.7712,0,10,0
05/03/21,Samuel Garcia,0.5837,0,10,0
05/03/21,Samuel Garcia,0.7645,0,10,0
05/03/21,Samuel Garcia,0.8227,0,10,0
05/03/21,Samuel Garcia,0.6249,0,10,0
05/03/21,Samuel Garcia,0,0,10,0
05/03/21,Samuel Garcia,0,5,10,0
05/03/21,Samuel Garcia,0,47,10,0
05/03/21,Samuel Garcia,0,77,10,0
05/03/21,Samuel Garcia,-0.3794,9,10,-3.4146
05/03/21,Samuel Garcia,-0.4614,21,10,-9.6894
05/03/21,Samuel Garcia,-0.4588,0,10,0
05/03/21,Samuel Garcia,0.765,0,10,0
05/03/21,Samuel Garcia,-0.7155,0,10,0
05/03/21,Samuel Garcia,0.4215,137,10,57.7455
05/03/21,Samuel Garcia,0.296,0,10,0
05/03/21,Samuel Garcia,0.0258,0,10,0
05/03/21,Samuel Garcia,0,0,10,0
05/03/21,Samuel Garcia,0.8442,0,10,0
05/03/21,Samuel Garcia,-0.4404,2,10,-0.8808
05/03/21,Samuel Garcia,0.5911,0,10,0
05/03/21,Samuel Garcia,-0.34,24,10,-8.16
05/03/21,Samuel Garcia,0.34,0,10,0
05/03/21,Samuel Garcia,0,0,10,0
05/03/21,Samuel Garcia,0,21,10,0
05/03/21,Samuel Garcia,-0.4614,21,10,-9.6894
05/03/21,Samuel Garcia,0.9517,0,10,0
05/03/21,Samuel Garcia,0.0387,0,10,0
05/03/21,Samuel Garcia,-0.2924,0,10,0
05/03/21,Samuel Garcia,-0.4404,0,10,0
05/03/21,Samuel Garcia,0.8126,0,10,0
05/03/21,Samuel Garcia,0.2486,0,10,0
05/03/21,Samuel Garcia,-0.1027,0,10,0
05/03/21,Samuel Garcia,0.4404,81,10,35.6724
05/03/21,Samuel Garcia,0,0,10,0
05/03/21,Samuel Garcia,0.6369,0,10,0
05/03/21,Samuel Garcia,0,47,10,0
05/03/21,Samuel Garcia,0.3612,0,10,0
05/03/21,Samuel Garcia,0,1,10,0
05/03/21,Samuel Garcia,0.7506,0,10,0
05/03/21,Samuel Garcia,0.4939,0,10,0
05/03/21,Samuel Garcia,0.143,0,10,0
05/03/21,Samuel Garcia,0.4019,0,10,0
05/03/21,Samuel Garcia,0,0,10,0
05/03/21,Samuel Garcia,-0.2732,13,10,-3.5516
05/03/21,Samuel Garcia,-0.2755,0,10,0
05/03/21,Samuel Garcia,0.3818,21,10,8.0178
06/03/21,Samuel Garcia,-0.8687,0,10,0
06/03/21,Samuel Garcia,-0.3794,9,10,-3.4146
06/03/21,Samuel Garcia,-0.5423,0,10,0
06/03/21,Samuel Garcia,0,12,10,0
06/03/21,Samuel Garcia,0.2716,4,10,1.0864
06/03/21,Samuel Garcia,0.4767,133,10,63.4011
06/03/21,Samuel Garcia,0.4404,81,10,35.6724
06/03/21,Samuel Garcia,0.8392,0,10,0
06/03/21,Samuel Garcia,0.4939,6,10,2.9634
06/03/21,Samuel Garcia,0,77,10,0
06/03/21,Samuel Garcia,0.6159,0,10,0
06/03/21,Samuel Garcia,0.6159,0,10,0
06/03/21,Samuel Garcia,0.5719,1,10,0.5719
06/03/21,Samuel Garcia,-0.93,0,10,0
06/03/21,Samuel Garcia,0.6369,1,10,0.6369
06/03/21,Samuel Garcia,-0.4404,0,10,0
06/03/21,Samuel Garcia,-0.4767,0,10,0
06/03/21,Samuel Garcia,0,216,10,0
06/03/21,Samuel Garcia,-0.3794,9,10,-3.4146
06/03/21,Samuel Garcia,-0.8155,0,10,0
06/03/21,Samuel Garcia,0,1,10,0
06/03/21,Samuel Garcia,0.8519,53,10,45.1507
06/03/21,Samuel Garcia,0.7351,7,10,5.1457
06/03/21,Samuel Garcia,0,0,10,0
06/03/21,Samuel Garcia,0.4588,6,10,2.7528
06/03/21,Samuel Garcia,-0.3612,39,10,-14.0868
06/03/21,Samuel Garcia,0.5499,0,10,0
06/03/21,Samuel Garcia,0,0,10,0
06/03/21,Samuel Garcia,-0.4522,18,10,-8.1396
06/03/21,Samuel Garcia,0,7,10,0
06/03/21,Samuel Garcia,0,77,10,0
06/03/21,Samuel Garcia,-0.3535,0,10,0
06/03/21,Samuel Garcia,-0.6705,0,10,0
06/03/21,Samuel Garcia,0.3875,19,10,7.3625
06/03/21,Samuel Garcia,0,20,10,0
06/03/21,Samuel Garcia,0,2,10,0
06/03/21,Samuel Garcia,-0.4767,2,10,-0.9534
06/03/21,Samuel Garcia,0,31,10,0
06/03/21,Samuel Garcia,0,0,10,0
06/03/21,Samuel Garcia,0.8316,0,10,0
06/03/21,Samuel Garcia,0,20,10,0
06/03/21,Samuel Garcia,0,0,10,0
06/03/21,Samuel Garcia,-0.3612,39,10,-14.0868
06/03/21,Samuel Garcia,0.4019,39,10,15.6741
06/03/21,Samuel Garcia,0.4404,4,10,1.7616
06/03/21,Samuel Garcia,-0.1275,0,10,0
06/03/21,Samuel Garcia,-0.4601,3,10,-1.3803
06/03/21,Samuel Garcia,0,31,10,0
06/03/21,Samuel Garcia,0,0,10,0
06/03/21,Samuel Garcia,-0.7579,0,10,0
06/03/21,Samuel Garcia,-0.8126,0,10,0
06/03/21,Samuel Garcia,-0.4717,155,10,-73.1135
06/03/21,Samuel Garcia,0,0,10,0
06/03/21,Samuel Garcia,0,26,10,0
06/03/21,Samuel Garcia,0.8719,0,10,0
06/03/21,Samuel Garcia,0.5719,0,10,0
06/03/21,Samuel Garcia,-0.8102,0,10,0
06/03/21,Samuel Garcia,0.6682,0,10,0
06/03/21,Samuel Garcia,-0.4717,155,10,-73.1135
06/03/21,Samuel Garcia,0,4,10,0
06/03/21,Samuel Garcia,-0.4717,155,10,-73.1135
06/03/21,Samuel Garcia,-0.25,0,10,0
06/03/21,Samuel Garcia,0,3,10,0
06/03/21,Samuel Garcia,0,0,10,0
06/03/21,Samuel Garcia,-0.5994,6,10,-3.5964
07/03/21,Samuel Garcia,0.4215,26,11,10.959
07/03/21,Samuel Garcia,-0.1695,0,11,0
07/03/21,Samuel Garcia,0,0,11,0
07/03/21,Samuel Garcia,0,0,11,0
07/03/21,Samuel Garcia,0.6597,0,11,0
07/03/21,Samuel Garcia,-0.4717,155,11,-73.1135
07/03/21,Samuel Garcia,-0.0226,0,11,0
07/03/21,Samuel Garcia,0,0,11,0
07/03/21,Samuel Garcia,-0.4717,155,11,-73.1135
07/03/21,Samuel Garcia,0,0,11,0
07/03/21,Samuel Garcia,0.024,0,11,0
07/03/21,Samuel Garcia,-0.2023,0,11,0
07/03/21,Samuel Garcia,-0.4717,155,11,-73.1135
07/03/21,Samuel Garcia,0.4215,0,11,0
07/03/21,Samuel Garcia,-0.4717,155,11,-73.1135
07/03/21,Samuel Garcia,0.3612,34,11,12.2808
07/03/21,Samuel Garcia,0.3612,34,11,12.2808
07/03/21,Samuel Garcia,0.4588,0,11,0
07/03/21,Samuel Garcia,0.4588,0,11,0
07/03/21,Samuel Garcia,0,0,11,0
07/03/21,Samuel Garcia,0,0,11,0
07/03/21,Samuel Garcia,-0.6124,0,11,0
07/03/21,Samuel Garcia,-0.6124,0,11,0
07/03/21,Samuel Garcia,-0.4717,155,11,-73.1135
07/03/21,Samuel Garcia,-0.4717,155,11,-73.1135
07/03/21,Samuel Garcia,0.4215,0,11,0
07/03/21,Samuel Garcia,0.4215,0,11,0
07/03/21,Samuel Garcia,0.4215,0,11,0
07/03/21,Samuel Garcia,0.4215,0,11,0
07/03/21,Samuel Garcia,-0.6454,0,11,0
07/03/21,Samuel Garcia,-0.6454,0,11,0
07/03/21,Samuel Garcia,0.5106,41,11,20.9346
07/03/21,Samuel Garcia,0.5106,41,11,20.9346
07/03/21,Samuel Garcia,0,11,11,0
07/03/21,Samuel Garcia,0,11,11,0
07/03/21,Samuel Garcia,0.3612,34,11,12.2808
07/03/21,Samuel Garcia,0.3612,34,11,12.2808
07/03/21,Samuel Garcia,0,0,11,0
07/03/21,Samuel Garcia,0,0,11,0
07/03/21,Samuel Garcia,0,1,11,0
07/03/21,Samuel Garcia,0,1,11,0
07/03/21,Samuel Garcia,0,17,11,0
07/03/21,Samuel Garcia,0,17,11,0
07/03/21,Samuel Garcia,0.8572,0,11,0
07/03/21,Samuel Garcia,0.8572,0,11,0
07/03/21,Samuel Garcia,-0.4717,155,11,-73.1135
07/03/21,Samuel Garcia,-0.4717,155,11,-73.1135
07/03/21,Samuel Garcia,0.836,0,11,0
07/03/21,Samuel Garcia,0.836,0,11,0
07/03/21,Samuel Garcia,0,3,11,0
07/03/21,Samuel Garcia,0,3,11,0
07/03/21,Samuel Garcia,-0.4717,155,11,-73.1135
