candidato,retweetTimesTrust,retweetTotal,creacion,numSemana
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,127.3333332,1146,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,127.3333332,1146,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,652.6,3263,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,652.6,3263,05/03/21,10
Clara Luz Flores,0.428571429,3,05/03/21,10
Clara Luz Flores,652.6,3263,05/03/21,10
Clara Luz Flores,127.3333332,1146,05/03/21,10
Clara Luz Flores,2,4,05/03/21,10
Clara Luz Flores,2.416666657,29,05/03/21,10
Clara Luz Flores,0,1,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,38,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,5.000000005,35,05/03/21,10
Clara Luz Flores,0,126,05/03/21,10
Clara Luz Flores,127.3333332,1146,05/03/21,10
Clara Luz Flores,0,126,05/03/21,10
Clara Luz Flores,0,181,05/03/21,10
Clara Luz Flores,0.235294118,1,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,5.000000005,35,05/03/21,10
Clara Luz Flores,0,6,05/03/21,10
Clara Luz Flores,127.3333332,1146,05/03/21,10
Clara Luz Flores,127.3333332,1146,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0.27272727,6,05/03/21,10
Clara Luz Flores,127.3333332,1146,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0.666666666,2,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,28.36363639,312,05/03/21,10
Clara Luz Flores,3.727272731,41,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,26.36363639,145,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,652.6,3263,05/03/21,10
Clara Luz Flores,0.625,5,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,652.6,3263,05/03/21,10
Clara Luz Flores,13.42857144,47,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,127.3333332,1146,05/03/21,10
Clara Luz Flores,127.3333332,1146,05/03/21,10
Clara Luz Flores,0,126,05/03/21,10
Clara Luz Flores,127.3333332,1146,05/03/21,10
Clara Luz Flores,1.466666674,22,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,5.000000005,35,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,202,05/03/21,10
Clara Luz Flores,0,202,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0.095238095,1,05/03/21,10
Clara Luz Flores,652.6,3263,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,146,05/03/21,10
Clara Luz Flores,652.6,3263,05/03/21,10
Clara Luz Flores,652.6,3263,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,221,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,127.3333332,1146,05/03/21,10
Clara Luz Flores,652.6,3263,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,6.500000013,39,05/03/21,10
Clara Luz Flores,24.88888886,112,05/03/21,10
Clara Luz Flores,127.3333332,1146,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,127.3333332,1146,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,11.73333339,176,05/03/21,10
Clara Luz Flores,34.88888885,157,05/03/21,10
Clara Luz Flores,24.88888886,112,05/03/21,10
Clara Luz Flores,33.09090912,364,05/03/21,10
Clara Luz Flores,34.88888885,157,05/03/21,10
Clara Luz Flores,0.666666666,6,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,26.36363639,145,05/03/21,10
Clara Luz Flores,1.466666674,22,05/03/21,10
Clara Luz Flores,0.235294118,2,05/03/21,10
Clara Luz Flores,1.6,16,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,127.3333332,1146,05/03/21,10
Clara Luz Flores,0,126,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,13.42857144,47,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,0,0,05/03/21,10
Clara Luz Flores,6.8,68,05/03/21,10
Clara Luz Flores,0.1,1,05/03/21,10
Clara Luz Flores,127.3333332,1146,05/03/21,10
Clara Luz Flores,26.36363639,145,05/03/21,10
Clara Luz Flores,17.55555554,158,05/03/21,10
Clara Luz Flores,34.88888885,157,05/03/21,10
Clara Luz Flores,3.000000003,21,05/03/21,10
Clara Luz Flores,0,0,06/03/21,10
Clara Luz Flores,0,0,06/03/21,10
Clara Luz Flores,6.66666668,40,06/03/21,10
Clara Luz Flores,3.666666663,33,06/03/21,10
Clara Luz Flores,3.666666663,33,06/03/21,10
Clara Luz Flores,127.3333332,1146,06/03/21,10
Clara Luz Flores,0,0,06/03/21,10
Clara Luz Flores,127.3333332,1146,06/03/21,10
Clara Luz Flores,0.333333334,2,06/03/21,10
Clara Luz Flores,0,0,06/03/21,10
Clara Luz Flores,0.428571429,3,06/03/21,10
Clara Luz Flores,652.6,3263,06/03/21,10
Clara Luz Flores,26.36363639,145,06/03/21,10
Clara Luz Flores,0,0,06/03/21,10
Clara Luz Flores,0,21,06/03/21,10
Clara Luz Flores,0,37,06/03/21,10
Clara Luz Flores,4.4375,71,06/03/21,10
Clara Luz Flores,0,0,06/03/21,10
Clara Luz Flores,0,0,06/03/21,10
Clara Luz Flores,652.6,3263,06/03/21,10
Clara Luz Flores,0,64,06/03/21,10
Clara Luz Flores,0,0,06/03/21,10
Clara Luz Flores,0,0,06/03/21,10
Clara Luz Flores,652.6,3263,06/03/21,10
Clara Luz Flores,0,0,06/03/21,10
Clara Luz Flores,0.2,1,06/03/21,10
Clara Luz Flores,0,0,06/03/21,10
Clara Luz Flores,0,0,06/03/21,10
Clara Luz Flores,6.500000013,39,06/03/21,10
Clara Luz Flores,0,22,06/03/21,10
Clara Luz Flores,0,181,06/03/21,10
Clara Luz Flores,0,129,06/03/21,10
Clara Luz Flores,26.36363639,145,06/03/21,10
Clara Luz Flores,0,0,06/03/21,10
Clara Luz Flores,0,0,06/03/21,10
Clara Luz Flores,13.81818183,76,06/03/21,10
Clara Luz Flores,26.36363639,145,06/03/21,10
Clara Luz Flores,0,0,06/03/21,10
Clara Luz Flores,0,6,06/03/21,10
Clara Luz Flores,0,0,06/03/21,10
Clara Luz Flores,127.3333332,1146,06/03/21,10
Clara Luz Flores,2.181818184,12,06/03/21,10
Clara Luz Flores,0,0,06/03/21,10
Clara Luz Flores,0,224,06/03/21,10
Clara Luz Flores,5.000000005,35,06/03/21,10
Clara Luz Flores,0,50,06/03/21,10
Clara Luz Flores,652.6,3263,06/03/21,10
Clara Luz Flores,0,20,06/03/21,10
Clara Luz Flores,0.166666666,2,06/03/21,10
