candidato,retweetTimesNegativity,retweetTotal,creacion,numSemana
Samuel Garcia,0,54,07/03/21,11
Samuel Garcia,0,54,07/03/21,11
Samuel Garcia,0.094,2,07/03/21,11
Samuel Garcia,0.094,2,07/03/21,11
Samuel Garcia,37.973,299,07/03/21,11
Samuel Garcia,37.973,299,07/03/21,11
Samuel Garcia,37.973,299,07/03/21,11
Samuel Garcia,37.973,299,07/03/21,11
Samuel Garcia,37.973,299,07/03/21,11
Samuel Garcia,37.973,299,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,1.209,13,07/03/21,11
Samuel Garcia,1.209,13,07/03/21,11
Samuel Garcia,0,14,07/03/21,11
Samuel Garcia,0,14,07/03/21,11
Samuel Garcia,0,11,07/03/21,11
Samuel Garcia,0,11,07/03/21,11
Samuel Garcia,0,11,07/03/21,11
Samuel Garcia,0,11,07/03/21,11
Samuel Garcia,37.973,299,07/03/21,11
Samuel Garcia,37.973,299,07/03/21,11
Samuel Garcia,37.973,299,07/03/21,11
Samuel Garcia,37.973,299,07/03/21,11
Samuel Garcia,0,247,07/03/21,11
Samuel Garcia,0,247,07/03/21,11
Samuel Garcia,0,247,07/03/21,11
Samuel Garcia,0,247,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,0,0,07/03/21,11
Samuel Garcia,37.973,299,08/03/21,11
Samuel Garcia,37.973,299,08/03/21,11
Samuel Garcia,0,3,08/03/21,11
Samuel Garcia,0,3,08/03/21,11
Samuel Garcia,0.241,1,08/03/21,11
Samuel Garcia,0,0,08/03/21,11
Samuel Garcia,0,247,08/03/21,11
Samuel Garcia,0,0,08/03/21,11
Samuel Garcia,37.973,299,08/03/21,11
Samuel Garcia,0,0,08/03/21,11
Samuel Garcia,1.256,8,08/03/21,11
Samuel Garcia,0.333,3,08/03/21,11
Samuel Garcia,0,0,08/03/21,11
Samuel Garcia,0,48,08/03/21,11
Samuel Garcia,37.973,299,08/03/21,11
Samuel Garcia,0,0,08/03/21,11
Samuel Garcia,0,0,08/03/21,11
Samuel Garcia,0,0,08/03/21,11
Samuel Garcia,0,1,08/03/21,11
Samuel Garcia,0,163,08/03/21,11
Samuel Garcia,0,1,08/03/21,11
Samuel Garcia,0,163,08/03/21,11
Samuel Garcia,37.973,299,08/03/21,11
Samuel Garcia,0,0,08/03/21,11
Samuel Garcia,2.304,36,08/03/21,11
Samuel Garcia,0,0,08/03/21,11
Samuel Garcia,11.067,51,08/03/21,11
Samuel Garcia,0,163,08/03/21,11
Samuel Garcia,0.871,13,08/03/21,11
Samuel Garcia,0.871,13,08/03/21,11
Samuel Garcia,0,163,08/03/21,11
Samuel Garcia,1.794,6,08/03/21,11
Samuel Garcia,2.168,8,08/03/21,11
Samuel Garcia,2.304,36,08/03/21,11
Samuel Garcia,37.973,299,08/03/21,11
Samuel Garcia,16.588,58,08/03/21,11
Samuel Garcia,11.067,51,08/03/21,11
Samuel Garcia,0,0,08/03/21,11
Samuel Garcia,0,0,08/03/21,11
