creacion,retweet_count,numSemana,compoundRT
05/03/21,0,10,0
05/03/21,2,10,-0.0516
05/03/21,0,10,0
05/03/21,47,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,6,10,2.6424
05/03/21,0,10,0
05/03/21,152,10,0
05/03/21,46,10,-16.6152
05/03/21,2,10,1.0212
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,1,10,0.6442
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,152,10,0
05/03/21,0,10,0
05/03/21,1,10,0.1779
05/03/21,116,10,26.2508
05/03/21,0,10,0
05/03/21,46,10,-16.6152
05/03/21,216,10,0
05/03/21,0,10,0
05/03/21,152,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,1,10,0.8271
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,1,10,0
05/03/21,47,10,0
05/03/21,0,10,0
05/03/21,1,10,-0.6087
05/03/21,35,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,216,10,0
05/03/21,0,10,0
05/03/21,116,10,26.2508
05/03/21,11,10,-6.7364
05/03/21,5,10,-0.562
05/03/21,0,10,0
05/03/21,1,10,-0.5106
05/03/21,152,10,0
05/03/21,4,10,1.7616
05/03/21,137,10,57.7455
05/03/21,5,10,0
05/03/21,0,10,0
05/03/21,4,10,0
05/03/21,1,10,0.7003
05/03/21,0,10,0
05/03/21,6,10,2.7528
05/03/21,34,10,-7.6942
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,5,10,0
05/03/21,47,10,0
05/03/21,77,10,0
05/03/21,9,10,-3.4146
05/03/21,21,10,-9.6894
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,137,10,57.7455
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,2,10,-0.8808
05/03/21,0,10,0
05/03/21,24,10,-8.16
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,21,10,0
05/03/21,21,10,-9.6894
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,81,10,35.6724
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,47,10,0
05/03/21,0,10,0
05/03/21,1,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,0,10,0
05/03/21,13,10,-3.5516
05/03/21,0,10,0
05/03/21,21,10,8.0178
06/03/21,34,10,21.2466
