distrito_id,dto,edo,PAN,PRI,PRD,PVEM,PT,MOVIMIENTO_CIUDADANO,RSP,MORENA,PES,FM,PAN_PRI_PRD,PAN_PRD,PAN_PRI,PRI_PRD,PT_MORENA_PVEM,PT_MORENA,PT_PVEM,PVEM_MORENA,CAND_IND_01,CAND_IND_02,CNR,VN,TOTAL_VOTOS_CALCULADOS,LISTA_NOMINAL_CASILLA,URBANA,RURAL,VPM,JHH
2705,5,27,3512,19818,19244,11217,4244,3669,2177,142779,3802,3802,448,136,41,155,1526,617,69,541,0,0,33,7988,222016,295256,178,322,0,1
2706,6,27,3097,20025,9545,12952,4296,5419,2857,129087,2715,2715,433,112,52,169,2264,888,89,543,2389,0,93,7489,204514,296208,222,263,0,1
2801,1,28,53688,34764,1509,5359,3871,2789,3234,49839,2973,2973,566,230,190,16,943,423,42,244,0,0,86,4565,165331,310391,518,10,0,1
2802,2,28,56502,22332,1512,4756,3585,2355,2093,57809,5330,5330,691,225,204,35,1127,439,52,469,0,0,44,4301,163861,280245,411,93,0,1
2803,3,28,56310,39578,2430,2828,5754,2964,3162,52557,4180,4180,548,276,244,28,1003,430,79,328,0,0,66,5453,178218,293905,272,269,0,1
2804,4,28,55138,33559,2113,3143,4290,3361,2484,59792,1665,1665,784,236,225,31,849,432,44,255,0,0,39,4175,172615,298768,445,43,0,1
2805,5,28,63897,55843,1837,5144,5767,7353,1932,50573,3419,3419,891,186,427,26,1017,414,45,226,0,0,96,7021,206114,299833,368,165,0,1
2806,6,28,85921,40511,4317,4634,3798,7360,4660,38593,2512,2512,716,452,473,54,889,354,60,311,0,0,50,7639,203304,280872,178,405,0,1
2807,7,28,49540,31000,1969,4746,4798,2483,2403,69464,2927,2927,902,250,227,30,1578,566,59,385,2971,0,769,4561,181628,284880,371,94,0,1
2808,8,28,65489,30146,2431,5654,4030,3024,2266,68683,3343,3343,971,278,150,14,1144,471,39,276,4916,0,107,5723,199155,297197,524,4,0,1
2809,9,28,49842,13014,1958,3830,4921,3044,2265,70345,2279,2279,634,235,243,24,1202,532,50,369,0,0,53,3762,158602,282654,388,110,0,1
2901,1,29,32255,33080,5496,5683,10049,5469,3256,78973,3944,3944,748,287,147,71,1696,991,112,428,0,0,987,8900,193849,300472,312,205,1,1
2902,2,29,22691,31155,9248,4947,10144,6851,3791,106717,5188,5188,894,377,150,80,2793,1146,117,713,0,0,103,7299,215999,312644,480,27,1,1
2903,3,29,15858,22599,7145,4381,13597,4601,6899,107190,4590,4590,384,234,98,46,2337,1135,133,650,0,0,89,7625,200575,308900,347,171,1,1
3001,1,30,57356,21777,3609,5154,3254,3392,2279,50423,4700,4700,682,436,187,34,1032,451,55,472,0,0,12,5483,160788,239001,188,308,0,0
3002,2,30,56722,24793,14382,10495,4997,4460,2274,46848,1717,1717,757,849,100,50,711,332,69,217,0,0,10,6977,176760,246309,73,416,0,0
3003,3,30,44694,26868,3120,8272,2843,2818,1997,63896,1462,1462,642,460,147,31,915,384,26,307,0,0,42,5100,164024,248900,208,253,0,0
3004,4,30,69281,11609,3031,8258,3093,3531,2480,74089,2537,2537,1514,885,270,36,1170,513,53,329,0,0,115,5350,188144,321098,462,80,0,0
