distrito_id,dto,edo,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,CAND_IND_1,CAND_IND_2,CAND_IND_3,PAN-PRI-PRD,PAN-PRI,PAN-PRD,PRI-PRD,PVEM-PT-MORENA,PVEM-PT,PVEM-MORENA,PT-MORENA,JHH,VXM,TOTAL,GANADOR_2018,GANADOR_2021
2108,8,21,0,0,0,0,0,3.31,0,1.12,1.1,1.22,0,0,0,43.34,0,0,0,49.91,0,0,0,1,1,43776,PT-MORENA-PES,PVEM-PT-MORENA
2109,9,21,0,0,0,0,0,5.14,0,3.64,2.74,3.98,0,0,0,35.29,0,0,0,49.22,0,0,0,1,1,25829,PT-MORENA-PES,PVEM-PT-MORENA
2110,10,21,0,0,0,6.96,1.99,7.41,37.44,1.82,2.89,3.6,0,0,0,37.89,0,0,0,0,0,0,0,0,1,17868,PT-MORENA-PES,PAN-PRI-PRD
2111,11,21,0,0,0,6.83,5.64,6.52,39.36,5.55,5.55,3.2,0,0,0,27.37,0,0,0,0,0,0,0,0,1,26162,PT-MORENA-PES,MORENA
2112,12,21,0,0,0,0,0,11.69,0,2.22,3.64,6.4,0,0,0,31.77,0,0,0,44.27,0,0,0,1,1,27467,PT-MORENA-PES,PVEM-PT-MORENA
2113,13,21,0,0,0,3.64,2.3,8.3,37.77,3.36,3.01,3.12,0,0,0,38.5,0,0,0,0,0,0,0,0,1,18817,PT-MORENA-PES,PAN-PRI-PRD
2114,14,21,0,0,0,0,0,3.45,0,1.93,1.3,1.08,0,0,0,46.55,0,0,0,45.7,0,0,0,1,1,2232,PT-MORENA-PES,PAN-PRI-PRD
2115,15,21,0,0,0,3.09,2.28,7.18,43.27,2.77,1.6,2.22,0,0,0,37.6,0,0,0,0,0,0,0,0,1,59486,PT-MORENA-PES,MORENA
2701,1,27,0,0,0,20.49,2.52,7.08,36.03,4.82,1.38,4.81,0,0,0,22.87,0,0,0,0,0,0,0,0,1,19783,PT-MORENA-PES,MORENA
2702,2,27,0,0,0,0,0,3.01,0,5.92,8.47,1.86,0,0,0,8.16,0,0,0,72.58,0,0,0,1,1,12675,PRI-PVEM-NA,PVEM-PT-MORENA
