distrito_id,dto,edo,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,CI,PAN-PRI-PRD,PVEM-PT-MORENA,CANDIDATO/A NO REGISTRADO/A,VOTOS NULOS,LISTA_NOMINAL_CASILLA,JHH,VXM,TOTAL,GANADOR_2018,GANADOR_2021,PARTICIPACION
1910,10,19,25.38,36.73,0.48,0,0,21.42,0,0.54,0.38,0.66,0,0,12.31,0.04,2.06,336042,1,0,196236,PT_MORENA_PES,PRI,58.4
1908,8,19,23.82,27.36,0.55,0,0,21.14,0,1.08,0.57,1.04,0,0,22.01,0.03,2.39,318955,1,0,158677,PT_MORENA_PES,PRI,49.75
1902,2,19,18.7,36.89,0.5,0,0,19.71,0,0.95,0.44,0.99,0,0,19.79,0.04,1.98,363234,1,0,178655,PT_MORENA_PES,PRI,49.18
1912,12,19,22.99,25.86,0.61,0,0,19.89,0,0.94,0.66,1.84,0,0,24.5,0.03,2.69,397641,1,0,161881,PT_MORENA_PES,PRI,40.71
1909,9,19,25.68,35.49,0.42,4.09,3.11,10.91,14.31,0.54,1.07,0.54,0,0,0,0.04,3.79,345421,0,0,201806,PT_MORENA_PES,PRI,58.42
1907,7,19,24.48,16.45,1.08,0,0,24.01,0,1.42,2.03,2.39,0,0,24.98,0.2,2.96,446531,1,0,197066,PRI_PVEM_NA,PVEM_PT_MORENA,44.13
1906,6,19,31.11,28.21,0.52,1.17,1.61,22.3,11.05,0.83,0.35,0.65,0,0,0,0.05,2.14,364495,0,0,224086,MORENA,PAN,61.48
1905,5,19,9.56,45.4,0.4,0,0,18.8,0,0.62,0.75,0.9,0,0,20.38,0.04,3.17,261261,1,0,121313,MORENA,PRI,46.43
1904,4,19,49.43,11.53,0.38,1.69,1.12,17.9,14.17,0.56,0.4,0.76,0,0,0,0.03,2.03,367332,0,0,207883,PT_MORENA_PES,PAN,56.59
1903,3,19,25.44,16.21,1.54,0,0,25.61,0,0.92,0.81,1.33,0,0,25.69,0.03,2.41,321784,1,0,137923,PT_MORENA_PES,PVEM_PT_MORENA,42.86
