"ESTADO","SEMANA2","FECHA_DOMINGO","CONFIRMADOS","DECESOS"
"06","'15-2021","2021-04-11",116,5
"06","'16-2020","2020-04-12",9,2
"06","'16-2021","2021-04-18",117,4
"06","'17-2020","2020-04-19",7,1
"06","'17-2021","2021-04-25",159,4
"06","'18-2020","2020-04-26",15,4
"06","'18-2021","2021-05-02",150,5
"06","'19-2020","2020-05-03",20,2
"06","'19-2021","2021-05-09",144,2
"06","'20-2020","2020-05-10",45,12
"06","'20-2021","2021-05-16",139,6
"06","'21-2020","2020-05-17",52,9
"06","'21-2021","2021-05-23",116,4
"06","'22-2020","2020-05-24",54,7
"06","'22-2021","2021-05-30",101,4
"06","'23-2020","2020-05-31",85,10
"06","'23-2021","2021-06-06",87,4
"06","'24-2020","2020-06-07",102,17
"06","'24-2021","2021-06-13",87,5
"06","'25-2020","2020-06-14",149,24
"06","'25-2021","2021-06-20",133,7
"06","'26-2020","2020-06-21",145,16
"06","'26-2021","2021-06-27",195,6
"06","'27-2020","2020-06-28",202,29
"06","'27-2021","2021-07-04",369,8
"06","'28-2020","2020-07-05",305,43
"06","'28-2021","2021-07-11",937,17
"06","'29-2020","2020-07-12",409,43
"06","'29-2021","2021-07-18",1683,22
"06","'30-2020","2020-07-19",403,54
"06","'30-2021","2021-07-25",2091,13
"06","'31-2020","2020-07-26",380,53
"06","'31-2021","2021-08-01",667,1
"06","'32-2020","2020-08-02",424,45
"06","'33-2020","2020-08-09",457,54
"06","'34-2020","2020-08-16",454,48
"06","'35-2020","2020-08-23",351,31
"06","'36-2020","2020-08-30",274,29
"06","'37-2020","2020-09-06",266,35
"06","'38-2020","2020-09-13",393,39
"06","'39-2020","2020-09-20",366,32
"06","'40-2020","2020-09-27",366,35
"06","'41-2020","2020-10-04",354,34
"06","'42-2020","2020-10-11",289,21
"06","'43-2020","2020-10-18",240,18
"06","'44-2020","2020-10-25",189,10
"06","'45-2020","2020-11-01",165,12
"06","'46-2020","2020-11-08",110,9
"06","'47-2020","2020-11-15",138,11
"06","'48-2020","2020-11-22",140,8
"06","'49-2020","2020-11-29",138,8
"06","'50-2020","2020-12-06",143,8
"06","'51-2020","2020-12-13",169,14
"06","'52-2020","2020-12-20",330,32
"07","'01-2021","2021-01-03",427,72
"07","'02-2021","2021-01-10",256,48
"07","'03-2021","2021-01-17",223,31
"07","'04-2021","2021-01-24",230,8
"07","'05-2021","2021-01-31",147,17
"07","'06-2021","2021-02-07",119,13
"07","'07-2021","2021-02-14",97,12
"07","'08-2021","2021-02-21",110,7
"07","'09-2020","2020-02-23",1,0
"07","'09-2021","2021-02-28",124,13
"07","'10-2021","2021-03-07",107,8
"07","'11-2020","2020-03-08",2,0
"07","'11-2021","2021-03-14",102,12
"07","'12-2020","2020-03-15",7,1
"07","'12-2021","2021-03-21",88,9
"07","'13-2020","2020-03-22",17,2
"07","'13-2021","2021-03-28",110,3
"07","'14-2020","2020-03-29",18,4
"07","'14-2021","2021-04-04",112,5
"07","'15-2020","2020-04-05",26,4
"07","'15-2021","2021-04-11",100,8
"07","'16-2020","2020-04-12",61,7
"07","'16-2021","2021-04-18",131,9
"07","'17-2020","2020-04-19",101,10
"07","'17-2021","2021-04-25",91,3
"07","'18-2020","2020-04-26",174,27
"07","'18-2021","2021-05-02",92,8
"07","'19-2020","2020-05-03",292,45
"07","'19-2021","2021-05-09",104,5
"07","'20-2020","2020-05-10",472,76
"07","'20-2021","2021-05-16",109,0
"07","'21-2020","2020-05-17",748,120
"07","'21-2021","2021-05-23",150,3
"07","'22-2020","2020-05-24",824,140
"07","'22-2021","2021-05-30",173,10
"07","'23-2020","2020-05-31",781,157
"07","'23-2021","2021-06-06",234,8
"07","'24-2020","2020-06-07",639,145
"07","'24-2021","2021-06-13",258,10
"07","'25-2020","2020-06-14",537,123
"07","'25-2021","2021-06-20",262,12
"07","'26-2020","2020-06-21",435,110
"07","'26-2021","2021-06-27",278,13
"07","'27-2020","2020-06-28",348,82
"07","'27-2021","2021-07-04",482,22
"07","'28-2020","2020-07-05",342,56
"07","'28-2021","2021-07-11",726,30
"07","'29-2020","2020-07-12",304,50
"07","'29-2021","2021-07-18",974,44
"07","'30-2020","2020-07-19",222,35
"07","'30-2021","2021-07-25",1008,9
"07","'31-2020","2020-07-26",217,20
"07","'31-2021","2021-08-01",270,0
"07","'32-2020","2020-08-02",171,18
"07","'33-2020","2020-08-09",158,7
"07","'34-2020","2020-08-16",98,6
"07","'35-2020","2020-08-23",88,9
"07","'36-2020","2020-08-30",106,5
"07","'37-2020","2020-09-06",84,2
"07","'38-2020","2020-09-13",96,5
"07","'39-2020","2020-09-20",81,6
"07","'40-2020","2020-09-27",67,4
"07","'41-2020","2020-10-04",57,2
"07","'42-2020","2020-10-11",51,3
"07","'43-2020","2020-10-18",44,4
"07","'44-2020","2020-10-25",25,1
"07","'45-2020","2020-11-01",46,2
"07","'46-2020","2020-11-08",63,1
"07","'47-2020","2020-11-15",61,6
"07","'48-2020","2020-11-22",76,6
"07","'49-2020","2020-11-29",120,5
"07","'50-2020","2020-12-06",154,7
"07","'51-2020","2020-12-13",175,19
"07","'52-2020","2020-12-20",219,40
"08","'01-2021","2021-01-03",1036,187
"08","'02-2021","2021-01-10",646,89
"08","'03-2021","2021-01-17",682,86
"08","'04-2021","2021-01-24",487,77
"08","'05-2021","2021-01-31",544,66
"08","'06-2021","2021-02-07",466,66
"08","'07-2021","2021-02-14",664,69
"08","'08-2021","2021-02-21",617,71
"08","'09-2021","2021-02-28",721,71
"08","'10-2021","2021-03-07",643,77
"08","'11-2020","2020-03-08",4,0
"08","'11-2021","2021-03-14",918,92
"08","'12-2020","2020-03-15",17,4
"08","'12-2021","2021-03-21",1063,96
"08","'13-2020","2020-03-22",37,16
"08","'13-2021","2021-03-28",1453,116
"08","'14-2020","2020-03-29",89,46
"08","'14-2021","2021-04-04",1524,118
"08","'15-2020","2020-04-05",178,75
"08","'15-2021","2021-04-11",1340,94
"08","'16-2020","2020-04-12",329,125
"08","'16-2021","2021-04-18",1263,87
"08","'17-2020","2020-04-19",475,161
